ID,Latitude,Longitude
716067,34.054801,-118.211859
716081,34.059959,-118.174416
716085,34.061918,-118.162504
716421,33.926392,-118.304528
716422,33.926754,-118.304542
716891,34.014955,-118.172721
716922,33.986224,-118.136014
716933,34.020076,-118.181702
716968,34.165484,-118.29753
716991,34.221822,-118.364915
716997,34.227093,-118.389006
717004,34.245149,-118.422992
717009,34.029516,-118.403014
717047,34.055356,-118.216546
717065,34.060186,-118.174504
717125,34.072457,-118.074173
717135,34.072661,-118.059491
717174,34.070282,-117.960307
717303,34.039962,-118.05362
717355,33.995905,-117.873496
717387,33.873361,-118.213213
717388,33.873559,-118.213194
717442,33.866819,-118.050661
717524,34.162351,-118.629794
717544,34.273353,-118.491355
717553,34.28145,-118.678709
717617,34.179921,-118.167405
717663,34.14889,-118.055903
717836,33.830383,-118.083453
717857,33.881766,-118.103878
717872,33.923989,-118.104406
717909,33.994533,-118.068855
717915,34.003288,-118.064985
717956,34.093924,-117.988767
718017,34.0344,-118.170119
718072,34.148241,-118.225967
718125,33.994299,-117.890213
718227,33.802923,-118.133344
718249,33.825229,-118.225244
718389,34.244193,-118.42169
718492,33.907361,-118.181983
759271,34.14691,-118.782745
759576,34.021135,-118.195375
759617,34.266064,-118.442825
759700,34.020961,-118.195456
760330,33.91319,-118.122603
760358,33.914273,-118.103564
760369,33.91352,-118.122596
760426,33.932736,-118.3484
760440,33.925127,-118.330354
760452,33.925436,-118.325192
760756,34.28213,-118.740869
760828,34.277998,-118.606079
761734,33.891258,-118.18823
763346,34.03681,-118.315379
763527,33.82907,-118.28727
763563,34.04332,-117.800771
764059,34.030785,-118.437468
764137,34.152092,-118.143249
764590,33.930217,-118.368535
764646,34.146784,-118.699337
766620,34.023534,-117.745774
766758,34.493332,-118.280287
767573,34.128058,-118.228703
767750,34.093121,-118.206362
767898,34.119589,-117.771693
768328,34.07311,-117.753926
769029,34.436709,-118.594465
769819,34.205892,-118.198234
769831,34.206745,-118.201533
770243,34.302019,-118.422166
770385,34.206925,-118.21372
770587,34.321653,-118.446679
770598,34.318013,-118.486171
771553,34.195845,-118.85983
771603,34.11972,-117.803812
771846,33.809074,-118.157336
771863,33.821489,-118.195048
771897,33.82515,-118.222222
771997,34.276797,-118.470607
772208,34.159019,-118.638271
772455,34.019206,-118.423854
773013,34.084087,-118.220354
773193,34.143558,-118.022467
773221,34.033226,-118.133609
773490,33.999699,-117.94058
773537,33.99513,-117.87881
773870,34.155158,-118.317885
773927,34.152895,-118.279266
774216,33.984448,-118.441266
774302,33.981692,-118.431248
774344,34.318789,-118.493056
774855,33.976527,-117.842817
775314,34.22247,-119.141616
775762,33.748932,-118.290236
775975,34.435404,-118.618054
776188,34.059988,-118.165192
776203,34.006745,-118.172418
776773,34.301291,-119.30129
777213,33.76833,-118.207637
